"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"54","RT @iramabbasi: BBC News - India rapist guru: Judge calls Gurmeet Ram Rahim Singh 'wild beast' https://t.co/RWJh69AVR3",FALSE,0,NA,2017-08-29 13:52:13,FALSE,NA,"902529321469968385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rmabbasi",5,TRUE,FALSE,NA,NA
"55","RT @pbhushan1: Shocking!Murder case of manager of Fraudman was closed after CBI replaced upright officer. Now pending for yrs in HC
https:/…",FALSE,0,NA,2017-08-29 13:52:10,FALSE,NA,"902529311336304641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bewithswami",383,TRUE,FALSE,NA,NA
"56","RT @DeepikaBhardwaj: Cases of #498A misuse can be found in every nook n corner of India. #RamRahimSingh also did it to hide his deeds.

htt…",FALSE,0,NA,2017-08-29 13:52:08,FALSE,NA,"902529301269979137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","banaraskbhaiya",54,TRUE,FALSE,NA,NA
"57","RT @TrueIndology: Ram Rahim supporters riot=&gt;entire Dera property confiscated
Jihadi Burhan Wani wages war on India, kills Police=&gt; His fam…",FALSE,0,NA,2017-08-29 13:52:05,FALSE,NA,"902529290692050945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anand153",1203,TRUE,FALSE,NA,NA
"58","RT @sagarcasm: Until yesterday nobody knew that Ram Rahim's Dera campus has malls, resorts, guns and rifles. It was Hairy Potter &amp; his Cham…",FALSE,0,NA,2017-08-29 13:52:03,FALSE,NA,"902529279375810560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mr_LoLwa",123,TRUE,FALSE,NA,NA
"59","RT @RealHistoryPic: A clip recovered where Amarindar Singh claiming to have support of Ram Rahim Singh for 2012 Punjab assembly election.(2…",FALSE,0,NA,2017-08-29 13:51:58,FALSE,NA,"902529258244812802",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Hippiezippie",586,TRUE,FALSE,NA,NA
"60","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:51:56,FALSE,NA,"902529249931812864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mohib_khan",17,TRUE,FALSE,NA,NA
"61","RT @Madan_Chikna: Baba Gurmeet Ram Rahim Singh Before and After he was convicted 

#RamRahimSentencing https://t.co/3r9KGzMCwn",FALSE,0,NA,2017-08-29 13:51:54,FALSE,NA,"902529244521046016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adroitakash1",638,TRUE,FALSE,NA,NA
"62","RT @kavita_krishnan: Senior advocate in SC, @governorswaraj tweeted defending marital rape + hinting that Ram Rahim was being punished for…",FALSE,0,NA,2017-08-29 13:51:52,FALSE,NA,"902529235138383872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bijaykumaryad9",63,TRUE,FALSE,NA,NA
"63","RT @rkhuria: #RamRahimSentencing Old habits die hard. BJP/ RSS spokesmen busy disowning Ram Rahim, just as RSS disowned Godse. Comrade, but…",FALSE,0,NA,2017-08-29 13:51:50,FALSE,NA,"902529225302753280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Candolime",57,TRUE,FALSE,NA,NA
